trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.99004983374916811}",20,0,-88.21803422378076,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.98019867330675525}",20,0,-77.64241301254117,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.97044553354850815}",25,0,-167.15177659381987,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
4,False,"{'a': 0.01, 'e': 0.96078943915232318}",25,15,-28.633578755517078,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.01, 'e': 0.95122942450071402}",25,0,-232.97941450889354,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",0
6,False,"{'a': 0.01, 'e': 0.94176453358424872}",35,0,-253.78895002422257,"{0: 23, 1: 3, 2: 2, 3: 2, 4: 5}",0
7,False,"{'a': 0.01, 'e': 0.93239381990594827}",25,0,-189.118225555446,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
8,False,"{'a': 0.01, 'e': 0.92311634638663576}",25,14,-44.579604727041286,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.01, 'e': 0.91393118527122819}",25,0,-117.66468119084877,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.90483741803595952}",20,0,-21.20586389265849,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.89583413529652822}",25,0,-129.24679382348887,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.88692043671715748}",25,0,-145.0145934934241,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",30,5,-150.25862971776482,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",1
14,False,"{'a': 0.01, 'e': 0.86935823539880586}",35,0,-191.3194816235687,"{0: 25, 1: 0, 2: 6, 3: 0, 4: 4}",0
15,False,"{'a': 0.01, 'e': 0.86070797642505781}",35,0,-128.6588249786888,"{0: 26, 1: 0, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.85214378896621135}",35,20,-52.94536099570708,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",30,18,-20.218153971854246,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.01, 'e': 0.835270211411272}",20,0,-103.38849613245233,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.82695913394336229}",30,0,-96.79252789674293,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.81873075307798182}",25,8,-142.72065097398837,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 3}",1
21,False,"{'a': 0.01, 'e': 0.81058424597018708}",20,0,-49.38754730843071,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.80251879796247849}",20,0,-115.62666983909016,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.79453360250333405}",20,0,-107.05838402526999,"{0: 6, 1: 6, 2: 8, 3: 0, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.78662786106655347}",25,0,-128.7149515620709,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.77880078307140488}",20,0,-54.46955490773645,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.77105158580356625}",25,0,-112.38939556155009,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.76337949433685315}",25,10,-24.874612998290566,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
28,False,"{'a': 0.01, 'e': 0.75578374145572547}",25,0,-188.43372345079342,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
29,False,"{'a': 0.01, 'e': 0.74826356757856527}",20,0,-150.61288342655706,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
30,False,"{'a': 0.01, 'e': 0.74081822068171788}",25,9,-9.649404104202498,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
31,False,"{'a': 0.01, 'e': 0.73344695622428924}",25,0,-74.37137510094433,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",1
32,False,"{'a': 0.01, 'e': 0.72614903707369094}",25,0,-117.90702370147186,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
33,False,"{'a': 0.01, 'e': 0.71892373343192617}",20,0,-20.84580437917002,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
34,False,"{'a': 0.01, 'e': 0.71177032276260965}",25,0,-66.02307839670658,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.70468808971871344}",25,6,-87.35987492783156,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 1}",1
36,False,"{'a': 0.01, 'e': 0.69767632607103103}",20,0,-164.48646462823578,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
37,False,"{'a': 0.01, 'e': 0.69073433063735468}",20,12,-27.512929760389362,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
