trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-20.42032285781364,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.75748800120446,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,3,-83.15936812658367,"{0: 8, 1: 1, 2: 7, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.48623813614083,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.54574419666227,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.63194458567172,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.90196752319923,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.4614226969514,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-24.893703930713396,"{0: 19, 1: 5, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.5218799990638,"{0: 11, 1: 6, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.9521582535383,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-58.35392215292376,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-136.30109746126473,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-224.8476068030158,"{0: 22, 1: 7, 2: 1, 3: 0, 4: 5}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,9,-18.032477147451353,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-15.81100029421176,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.114228221537225,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.885271272416524,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-58.91047098327858,"{0: 17, 1: 7, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-171.71936585816502,"{0: 7, 1: 3, 2: 7, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-176.66900916840905,"{0: 20, 1: 6, 2: 5, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-249.16131152850338,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 5}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-100.24249199647149,"{0: 25, 1: 1, 2: 8, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-79.48271413216891,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-130.01072915497562,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.89428698379844,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.31534921617417,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-108.01990525892002,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-123.26909191046549,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-86.9929866980435,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
